port,cvss_score,internet_exposed,service_risk,patch_age,exploit_available,service_popularity,auth_required,known_cve_count,misconfig_score,network_depth,critical_asset,label
443,6.33,1,0.7,0,1,0.53,0,1,0.86,1,1,1
21,4.08,1,0.9,5,0,0.48,1,0,0.11,3,1,1
80,3.47,0,0.7,3,1,0.61,1,14,0.67,4,0,1
139,5.75,0,0.8,3,1,0.81,1,17,0.14,1,0,1
53,9.07,1,0.4,0,0,0.97,0,9,0.66,1,0,1
3389,9.76,1,0.85,4,1,0.95,0,7,1.0,5,0,1
22,3.04,1,0.6,2,1,0.33,1,14,0.22,3,1,1
3389,5.38,1,0.85,1,0,0.86,1,8,0.36,1,1,1
23,3.2,1,0.95,3,1,0.87,1,19,0.33,2,0,1
3306,6.38,0,0.8,0,1,0.36,0,5,0.03,1,1,1
443,7.58,0,0.7,0,1,0.83,1,3,0.5,3,0,1
23,9.8,1,0.95,4,0,0.74,1,20,0.79,4,1,1
139,5.11,1,0.8,1,1,0.79,0,15,0.59,1,1,1
25,9.56,1,0.5,5,0,0.62,1,17,0.5,3,1,1
110,9.6,1,0.6,0,1,0.34,0,15,0.91,4,1,1
21,5.35,1,0.9,5,1,0.91,1,4,0.0,1,0,1
3389,3.74,0,0.85,2,1,0.48,1,7,0.6,2,1,1
443,9.99,0,0.7,3,1,0.88,1,11,0.13,3,0,1
3306,6.66,1,0.8,2,0,0.9,1,14,0.11,2,1,1
445,6.7,0,0.9,1,0,0.5,1,13,0.76,2,1,1
22,8.05,1,0.6,1,1,0.51,0,11,0.54,3,0,1
23,9.97,0,0.95,0,0,0.44,1,5,0.01,4,1,1
3306,8.35,1,0.8,1,1,0.43,1,4,0.78,3,1,1
443,5.16,1,0.7,1,1,0.97,0,4,0.06,3,0,1
445,4.54,1,0.9,2,0,0.44,1,9,0.03,2,1,1
3306,8.11,1,0.8,5,1,0.44,0,6,0.15,1,0,1
23,7.55,1,0.95,1,1,0.63,1,10,0.48,2,0,1
443,9.29,1,0.7,0,1,0.88,0,12,0.57,2,0,1
23,8.26,0,0.95,4,0,0.43,1,3,0.22,3,0,1
443,9.35,1,0.7,4,0,0.49,0,12,0.63,1,0,1
3306,3.85,1,0.8,1,0,0.91,1,18,0.14,3,0,1
443,7.37,1,0.7,4,0,0.49,0,1,1.0,4,0,1
139,7.27,0,0.8,1,1,0.79,1,6,0.38,4,1,1
23,6.68,0,0.95,1,1,0.37,0,3,0.73,1,0,1
23,8.42,0,0.95,5,1,0.98,0,19,0.77,2,0,1
445,8.81,1,0.9,4,1,0.9,1,1,0.33,5,0,1
80,7.36,1,0.7,2,0,0.35,1,17,0.17,3,0,1
3306,6.76,0,0.8,0,1,0.33,0,12,0.11,1,0,1
80,5.99,0,0.7,3,1,0.97,0,11,0.17,5,1,1
22,5.94,1,0.6,5,0,0.59,0,6,0.2,1,0,1
110,9.12,0,0.6,2,1,0.97,0,0,0.94,2,0,1
3389,7.98,1,0.85,3,0,0.71,1,1,0.88,3,1,1
23,4.67,0,0.95,1,1,0.57,1,20,0.98,1,1,1
22,6.05,1,0.6,3,1,0.58,1,4,0.0,5,1,1
22,6.28,1,0.6,0,1,0.79,0,1,0.02,2,1,1
3389,7.22,0,0.85,0,0,0.49,1,7,0.92,3,1,1
22,3.17,0,0.6,0,0,0.63,0,2,0.49,2,1,0
139,8.34,1,0.8,0,0,0.43,0,16,0.17,2,0,1
22,4.64,0,0.6,3,1,0.95,0,3,0.43,4,1,1
22,4.47,1,0.6,1,1,0.59,1,15,0.13,1,0,1
80,4.8,1,0.7,4,1,0.53,1,17,0.63,4,1,1
3306,7.77,1,0.8,3,0,0.34,0,10,0.04,4,1,1
139,3.12,0,0.8,5,0,0.88,1,5,0.06,1,0,1
80,7.77,1,0.7,5,1,0.56,0,12,0.8,5,0,1
445,6.47,0,0.9,4,1,0.59,1,7,0.33,2,1,1
22,4.31,1,0.6,0,0,0.65,1,15,0.82,5,1,1
445,3.22,1,0.9,4,1,0.84,1,14,0.28,1,1,1
22,7.84,1,0.6,5,1,1.0,1,9,0.44,1,1,1
22,9.3,0,0.6,5,1,0.58,0,9,0.2,5,1,1
443,3.7,0,0.7,1,0,0.49,0,17,0.86,3,1,1
445,5.49,1,0.9,2,1,0.74,0,9,0.39,4,0,1
80,5.88,0,0.7,3,0,0.63,1,1,0.53,1,1,1
3306,3.85,0,0.8,1,0,0.97,1,20,0.96,4,0,1
22,6.03,0,0.6,5,0,0.4,1,2,0.63,1,0,1
53,6.85,1,0.4,4,1,0.63,1,8,0.68,2,1,1
3389,4.48,1,0.85,2,0,0.56,0,19,0.39,2,1,1
110,8.18,0,0.6,0,1,0.85,1,2,0.16,2,0,1
80,8.56,1,0.7,3,0,0.5,0,18,0.55,5,0,1
22,7.75,0,0.6,0,0,0.87,1,5,0.0,2,0,0
3306,3.78,1,0.8,5,0,0.87,0,15,0.12,4,1,1
80,3.34,0,0.7,1,0,0.74,0,10,0.93,3,1,1
443,3.4,1,0.7,2,0,0.99,0,3,0.92,3,0,1
445,7.33,0,0.9,5,1,0.85,1,20,0.63,3,1,1
53,4.88,1,0.4,0,1,0.46,0,0,0.51,1,0,1
21,6.95,0,0.9,4,0,0.93,0,0,0.28,3,1,1
22,5.56,0,0.6,3,0,0.41,0,16,0.25,1,1,1
25,6.3,1,0.5,5,0,0.59,0,3,0.74,3,0,1
110,8.82,0,0.6,2,0,0.79,0,4,0.97,4,1,1
53,6.2,0,0.4,2,1,0.79,1,13,0.31,5,1,1
139,6.28,0,0.8,1,0,0.68,1,1,0.5,4,0,0
25,5.39,1,0.5,4,0,0.36,1,20,0.73,3,1,1
22,9.45,1,0.6,5,1,0.89,1,20,0.52,2,0,1
3306,7.76,0,0.8,3,1,0.77,1,18,0.89,1,0,1
143,7.15,0,0.6,4,1,0.98,1,5,0.35,1,0,1
53,8.08,0,0.4,1,1,0.92,1,9,0.48,5,1,1
22,8.1,1,0.6,2,1,0.6,1,7,0.64,3,0,1
21,3.44,0,0.9,0,0,0.67,0,0,0.15,4,0,0
23,3.69,0,0.95,1,1,0.48,0,12,0.65,1,0,1
23,9.63,0,0.95,4,1,0.51,0,6,0.7,5,0,1
443,5.62,0,0.7,0,1,0.3,0,7,0.21,3,0,1
22,6.28,0,0.6,1,1,0.89,0,7,0.64,4,1,1
143,7.16,1,0.6,1,0,0.62,1,7,0.88,3,0,1
143,6.19,0,0.6,4,1,0.35,0,1,0.47,3,0,1
3389,9.64,1,0.85,2,0,0.34,0,2,0.33,2,0,1
443,9.64,1,0.7,0,0,0.68,0,15,0.43,5,0,1
139,5.15,1,0.8,1,0,0.62,0,15,0.13,2,1,1
143,5.83,1,0.6,4,0,0.64,0,1,0.93,4,1,1
21,9.69,0,0.9,0,1,0.55,0,13,0.89,3,1,1
53,7.04,0,0.4,3,1,0.43,0,17,0.47,2,0,1
445,6.66,0,0.9,5,0,0.9,1,9,0.62,5,1,1
139,7.34,1,0.8,5,1,0.64,0,16,0.83,3,1,1
445,5.76,1,0.9,5,1,0.56,0,0,0.67,2,0,1
445,9.47,1,0.9,1,0,0.3,0,14,0.73,4,0,1
23,3.24,0,0.95,2,1,0.89,1,13,0.75,2,0,1
25,9.22,0,0.5,0,1,0.38,0,3,0.52,2,0,1
110,9.59,0,0.6,5,1,0.93,0,17,0.77,5,0,1
443,5.89,0,0.7,4,1,0.58,1,8,0.95,5,1,1
110,7.44,1,0.6,5,1,0.42,1,11,0.5,1,0,1
25,9.54,1,0.5,0,1,0.6,0,18,0.69,3,0,1
3306,7.72,0,0.8,5,1,0.34,1,17,0.77,5,1,1
445,8.79,0,0.9,0,0,0.38,0,8,0.16,1,1,1
3306,6.12,1,0.8,0,0,0.85,1,2,0.2,2,0,0
53,6.33,0,0.4,3,1,0.59,0,18,0.07,3,0,1
80,5.41,1,0.7,2,1,0.69,1,19,0.29,2,0,1
3389,5.19,1,0.85,0,0,0.35,0,2,0.32,2,1,1
22,6.21,0,0.6,3,1,0.89,1,1,0.85,5,0,1
143,5.78,0,0.6,2,1,0.37,1,16,0.25,5,0,1
22,4.31,0,0.6,4,1,0.32,1,17,0.63,1,1,1
3389,8.83,0,0.85,1,0,0.77,1,13,0.6,2,0,1
110,9.55,1,0.6,3,0,0.51,0,7,0.73,4,1,1
22,9.21,0,0.6,1,0,0.41,1,20,0.68,2,0,1
445,5.78,1,0.9,3,0,0.65,0,15,0.95,2,1,1
143,9.37,0,0.6,3,1,0.32,0,6,0.53,4,0,1
443,6.87,1,0.7,1,0,1.0,1,11,0.48,3,1,1
25,8.48,0,0.5,2,0,0.9,0,20,0.35,3,0,1
143,8.72,1,0.6,2,1,0.8,1,9,0.63,2,0,1
22,6.71,1,0.6,4,1,0.3,1,16,0.36,1,1,1
139,3.68,0,0.8,0,0,0.62,0,14,0.39,3,1,0
53,6.76,0,0.4,2,0,0.67,1,16,0.88,4,0,1
25,4.29,0,0.5,1,1,0.47,0,16,0.05,1,0,1
21,6.28,1,0.9,2,1,0.56,1,5,0.82,4,0,1
22,3.81,0,0.6,1,0,0.35,0,12,0.72,1,1,0
143,6.14,1,0.6,4,0,0.79,0,14,0.19,3,0,1
21,8.68,0,0.9,5,0,0.77,0,16,0.96,3,0,1
143,7.77,1,0.6,1,0,0.93,0,2,0.71,3,1,1
3389,4.41,0,0.85,1,0,0.56,1,17,0.13,2,1,1
22,4.42,0,0.6,1,1,0.76,0,9,0.55,5,0,1
445,8.02,0,0.9,2,1,0.65,1,10,0.99,1,1,1
53,7.49,0,0.4,4,1,0.7,0,0,0.68,1,1,1
53,5.03,0,0.4,5,1,0.5,1,4,0.0,4,1,1
3389,6.97,1,0.85,4,0,0.47,1,8,0.86,3,1,1
23,3.12,1,0.95,0,0,0.64,0,1,0.99,5,1,1
445,8.2,0,0.9,1,0,0.43,0,8,0.17,5,1,1
80,6.69,1,0.7,0,0,0.57,0,8,0.99,4,1,1
